縣市別,當月收容隻數,當月收容被認領養數,當月收容被認領養率,總認領養數,依法人道處理數,依法人道處理率,所內死亡數,所內死亡率,月底在養數
1. 新北市,537,308,57%,453,0,0%,16,3%,1351
2. 臺北市,236,108,46%,223,1,0%,10,4%,835
3. 臺中市,656,135,21%,344,8,1%,69,11%,569
4. 臺南市,691,322,47%,469,0,0%,33,5%,670
5. 高雄市,343,142,41%,275,0,0%,9,3%,844
6. 桃園市,414,110,27%,205,8,2%,9,2%,613
7. 宜蘭縣,123,47,38%,75,0,0%,16,13%,241
8. 新竹縣,19,8,42%,10,0,0%,2,11%,86
9. 苗栗縣,72,12,17%,22,0,0%,9,12%,71
10. 彰化縣,81,31,38%,48,0,0%,14,17%,126
11. 南投縣,22,15,68%,22,0,0%,3,14%,297
12. 雲林縣,29,12,41%,29,0,0%,6,21%,434
13. 嘉義縣,12,3,25%,5,0,0%,6,50%,113
14. 屏東縣,79,33,42%,49,0,0%,1,1%,138
15. 臺東縣,63,45,71%,58,1,2%,0,0%,26
16. 花蓮縣,53,3,6%,23,2,4%,1,2%,88
17. 澎湖縣,60,7,12%,11,0,0%,5,8%,224
18. 基隆市,32,11,34%,35,0,0%,0,0%,63
19. 新竹市,22,10,45%,18,0,0%,2,9%,79
20. 嘉義市,20,8,40%,12,0,0%,0,0%,38
21. 金門縣,99,21,21%,36,2,2%,0,0%,69
22. 連江縣,1,0,0%,0,0,0%,0,0%,40
總計,3664,1391,38%,2422,22,1%,211,6%,7015
