縣市別,當月收容隻數,當月收容被認領養數,當月收容被認領養率,總認領養數,依法人道處理數,依法人道處理率,所內死亡數,所內死亡率,月底在養數
1. 新北市,534,334,63%,493,0,0%,49,9%,1264
2. 臺北市,256,52,20%,86,0,0%,2,1%,1129
3. 臺中市,603,88,15%,461,0,0%,68,11%,853
4. 臺南市,647,222,34%,339,0,0%,29,4%,580
5. 高雄市,373,161,43%,250,0,0%,19,5%,688
6. 桃園市,302,119,39%,188,0,0%,9,3%,437
7. 宜蘭縣,91,20,22%,53,1,1%,14,15%,288
8. 新竹縣,17,13,76%,22,0,0%,2,12%,34
9. 苗栗縣,180,16,9%,32,0,0%,25,14%,192
10. 彰化縣,43,23,53%,33,0,0%,4,9%,134
11. 南投縣,25,10,40%,18,0,0%,3,12%,311
12. 雲林縣,40,11,28%,50,0,0%,6,15%,370
13. 嘉義縣,21,4,19%,19,0,0%,2,10%,98
14. 屏東縣,16,2,12%,5,0,0%,0,0%,94
15. 臺東縣,81,62,77%,71,0,0%,1,1%,37
16. 花蓮縣,14,2,14%,5,3,21%,10,71%,98
17. 澎湖縣,37,0,0%,3,4,11%,3,8%,140
18. 基隆市,44,21,48%,53,0,0%,6,14%,80
19. 新竹市,32,10,31%,18,1,3%,6,19%,88
20. 嘉義市,43,12,28%,30,1,2%,2,5%,43
21. 金門縣,53,12,23%,20,0,0%,0,0%,57
22. 連江縣,0,0,0%,0,0,0%,0,0%,37
總計,3452,1194,35%,2249,10,0%,260,8%,7052
