縣市別,當月收容隻數,當月收容被認領養數,當月收容被認領養率,總認領養數,依法人道處理數,依法人道處理率,所內死亡數,所內死亡率,月底在養數
1. 新北市,546,369,68%,544,0,0%,24,4%,1272
2. 臺北市,146,6,4%,10,0,0%,4,3%,1563
3. 臺中市,544,126,23%,414,3,1%,51,9%,701
4. 臺南市,642,252,39%,391,0,0%,43,7%,705
5. 高雄市,369,153,41%,299,0,0%,14,4%,794
6. 桃園市,290,110,38%,169,0,0%,4,1%,422
7. 宜蘭縣,116,38,33%,95,0,0%,20,17%,399
8. 新竹縣,41,27,66%,29,0,0%,2,5%,48
9. 苗栗縣,61,4,7%,18,0,0%,12,20%,82
10. 彰化縣,54,36,67%,61,0,0%,0,0%,122
11. 南投縣,36,23,64%,36,0,0%,1,3%,310
12. 雲林縣,40,8,20%,32,0,0%,9,22%,408
13. 嘉義縣,23,7,30%,16,0,0%,3,13%,109
14. 屏東縣,45,26,58%,35,0,0%,0,0%,110
15. 臺東縣,72,62,86%,85,0,0%,0,0%,26
16. 花蓮縣,67,31,46%,38,1,1%,0,0%,88
17. 澎湖縣,43,2,5%,41,0,0%,11,26%,135
18. 基隆市,37,12,32%,37,0,0%,9,24%,77
19. 新竹市,19,9,47%,14,0,0%,5,26%,88
20. 嘉義市,23,15,65%,29,1,4%,0,0%,31
21. 金門縣,75,15,20%,29,0,0%,6,8%,74
22. 連江縣,0,0,0%,0,0,0%,0,0%,35
總計,3289,1331,40%,2422,5,0%,218,7%,7599
