縣市別,當月收容隻數,當月收容被認領養數,當月收容被認領養率,總認領養數,依法人道處理數,依法人道處理率,所內死亡數,所內死亡率,月底在養數
1. 新北市,477,288,60%,436,0,0%,25,5%,1285
2. 臺北市,240,104,43%,272,0,0%,16,7%,846
3. 臺中市,596,101,17%,499,0,0%,70,12%,538
4. 臺南市,362,123,34%,255,0,0%,28,8%,955
5. 高雄市,221,94,43%,258,0,0%,13,6%,728
6. 桃園市,475,105,22%,169,1,0%,9,2%,589
7. 宜蘭縣,153,39,25%,56,2,1%,14,9%,246
8. 新竹縣,17,6,35%,18,0,0%,2,12%,42
9. 苗栗縣,35,7,20%,24,0,0%,11,31%,43
10. 彰化縣,83,31,37%,67,0,0%,7,8%,119
11. 南投縣,22,18,82%,31,0,0%,2,9%,305
12. 雲林縣,100,20,20%,40,0,0%,2,2%,444
13. 嘉義縣,10,5,50%,6,0,0%,1,10%,113
14. 屏東縣,84,51,61%,81,0,0%,1,1%,141
15. 臺東縣,24,16,67%,27,0,0%,0,0%,19
16. 花蓮縣,49,9,18%,23,3,6%,0,0%,86
17. 澎湖縣,35,1,3%,15,2,6%,10,29%,149
18. 基隆市,27,3,11%,16,0,0%,2,7%,85
19. 新竹市,12,4,33%,7,0,0%,1,8%,81
20. 嘉義市,15,14,93%,24,0,0%,0,0%,32
21. 金門縣,103,5,5%,8,0,0%,0,0%,62
22. 連江縣,1,0,0%,1,0,0%,0,0%,40
總計,3141,1044,33%,2333,8,0%,214,7%,6948
