縣市別,當月收容隻數,當月收容被認領養數,當月收容被認領養率,總認領養數,依法人道處理數,依法人道處理率,所內死亡數,所內死亡率,月底在養數
1. 新北市,518,299,58%,477,0,0%,26,5%,1301
2. 臺北市,108,12,11%,20,0,0%,4,4%,1406
3. 臺中市,527,74,14%,327,4,1%,64,12%,888
4. 臺南市,626,254,41%,352,0,0%,17,3%,734
5. 高雄市,275,111,40%,276,0,0%,15,5%,737
6. 桃園市,317,118,37%,191,1,0%,9,3%,434
7. 宜蘭縣,146,22,15%,37,4,3%,31,21%,392
8. 新竹縣,25,18,72%,25,0,0%,0,0%,38
9. 苗栗縣,60,7,12%,21,0,0%,17,28%,84
10. 彰化縣,59,25,42%,57,0,0%,5,8%,138
11. 南投縣,41,24,59%,32,0,0%,2,5%,311
12. 雲林縣,63,16,25%,28,0,0%,11,17%,409
13. 嘉義縣,19,2,11%,5,3,16%,2,11%,107
14. 屏東縣,112,11,10%,11,0,0%,0,0%,101
15. 臺東縣,61,36,59%,47,2,3%,0,0%,39
16. 花蓮縣,71,30,42%,40,2,3%,0,0%,86
17. 澎湖縣,38,7,18%,10,1,3%,10,26%,146
18. 基隆市,42,12,29%,33,0,0%,3,7%,88
19. 新竹市,17,3,18%,21,0,0%,0,0%,88
20. 嘉義市,23,13,57%,24,0,0%,2,9%,37
21. 金門縣,69,12,17%,15,0,0%,7,10%,68
22. 連江縣,1,0,0%,2,0,0%,0,0%,35
總計,3218,1106,34%,2051,17,1%,225,7%,7667
