縣市別,當月收容隻數,當月收容被認領養數,當月收容被認領養率,總認領養數,依法人道處理數,依法人道處理率,所內死亡數,所內死亡率,月底在養數
1. 新北市,569,323,57%,523,0,0%,33,6%,1279
2. 臺北市,246,150,61%,206,0,0%,6,2%,930
3. 臺中市,793,78,10%,384,0,0%,55,7%,989
4. 臺南市,645,245,38%,349,0,0%,15,2%,564
5. 高雄市,354,150,42%,385,0,0%,16,5%,627
6. 桃園市,345,157,46%,217,1,0%,11,3%,455
7. 宜蘭縣,99,16,16%,53,3,3%,1,1%,255
8. 新竹縣,49,30,61%,40,0,0%,6,12%,41
9. 苗栗縣,104,3,3%,17,2,2%,8,8%,132
10. 彰化縣,44,18,41%,25,0,0%,11,25%,129
11. 南投縣,26,11,42%,24,0,0%,5,19%,307
12. 雲林縣,80,14,18%,28,0,0%,5,6%,386
13. 嘉義縣,20,10,50%,22,0,0%,4,20%,98
14. 屏東縣,3,1,33%,3,0,0%,0,0%,83
15. 臺東縣,43,21,49%,32,0,0%,2,5%,28
16. 花蓮縣,19,4,21%,16,0,0%,0,0%,102
17. 澎湖縣,45,21,47%,27,3,7%,6,13%,113
18. 基隆市,56,18,32%,39,0,0%,10,18%,96
19. 新竹市,31,10,32%,15,0,0%,7,23%,80
20. 嘉義市,24,13,54%,23,0,0%,2,8%,33
21. 金門縣,48,12,25%,23,0,0%,6,12%,61
22. 連江縣,7,0,0%,4,0,0%,0,0%,37
總計,3650,1305,36%,2455,9,0%,209,6%,6825
