縣市別,當月收容隻數,當月收容被認領養數,當月收容被認領養率,總認領養數,依法人道處理數,依法人道處理率,所內死亡數,所內死亡率,月底在養數
1. 新北市,553,341,62%,506,0,0%,40,7%,1268
2. 臺北市,281,123,44%,183,0,0%,9,3%,1120
3. 臺中市,566,89,16%,243,0,0%,56,10%,719
4. 臺南市,777,328,42%,474,0,0%,31,4%,879
5. 高雄市,393,210,53%,382,0,0%,21,5%,780
6. 桃園市,381,99,26%,162,0,0%,4,1%,470
7. 宜蘭縣,114,40,35%,95,0,0%,17,15%,160
8. 新竹縣,41,14,34%,24,0,0%,9,22%,50
9. 苗栗縣,61,1,2%,7,0,0%,11,18%,61
10. 彰化縣,97,43,44%,97,0,0%,2,2%,116
11. 南投縣,23,12,52%,16,0,0%,1,4%,316
12. 雲林縣,25,15,60%,42,0,0%,5,20%,386
13. 嘉義縣,12,2,17%,6,0,0%,5,42%,110
14. 屏東縣,73,30,41%,41,1,1%,0,0%,140
15. 臺東縣,36,26,72%,37,2,6%,1,3%,22
16. 花蓮縣,41,13,32%,28,1,2%,1,2%,88
17. 澎湖縣,32,8,25%,14,5,16%,3,9%,144
18. 基隆市,38,15,39%,30,0,0%,3,8%,77
19. 新竹市,10,6,60%,18,0,0%,3,30%,77
20. 嘉義市,34,14,41%,23,1,3%,0,0%,41
21. 金門縣,82,12,15%,29,0,0%,1,1%,73
22. 連江縣,6,0,0%,0,0,0%,1,17%,40
總計,3676,1441,39%,2457,10,0%,224,6%,7137
